timestamp;message
"2020-08-26T17:59:36.160814Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:59:19.300648Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:59:19.281601Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:58:56.104033Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:58:56.075659Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:58:35.555034Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:58:35.533838Z";"Detection cycle: <DetectionCycle>45</DetectionCycle> seconds"
"2020-08-26T17:58:35.502021Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.PRODUCT_DETECTING_DONE"
"2020-08-26T17:58:34.865149Z";"Corners: [[343, 63], [1646, 63], [1646, 861], [343, 861]]"
"2020-08-26T17:58:34.855806Z";"DONE - Product detected: ABC123; with goodness: 216"
"2020-08-26T17:58:22.348397Z";"Finding Instructions from image"
"2020-08-26T17:58:04.876614Z";"Corners: [[343, 64], [1646, 64], [1646, 861], [343, 861]]"
"2020-08-26T17:58:04.86621Z";"DONE - Product detected: ABC123; with goodness: 207"
"2020-08-26T17:57:51.105658Z";"Finding Instructions from image"
"2020-08-26T17:57:50.472473Z";"SIFT detects the instructions for the first time"
"2020-08-26T17:57:50.419693Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.PRODUCT_DETECTING"
"2020-08-26T17:57:50.387805Z";"Checking lifter"
"2020-08-26T17:57:10.711999Z";"Unlinking the conveyor"
"2020-08-26T17:57:10.700347Z";"Whole cycle: <Cycle>1242</Cycle> seconds"
"2020-08-26T17:57:10.694864Z";"Dispensing cycle: <DispensingCycle>1201</DispensingCycle> seconds"
"2020-08-26T17:57:10.657293Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.PRODUCT_WORK_DONE"
"2020-08-26T17:57:10.647963Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_PRODUCT_DONE"
"2020-08-26T17:57:04.413559Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:55.803759Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:55.780195Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:47.163611Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:47.134192Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:37.406706Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:37.385651Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:26.767244Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:26.741314Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:18.634892Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:18.610486Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:56:05.173723Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:56:05.139432Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:55.014778Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:54.981234Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:43.458909Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:43.434832Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:36.324827Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:36.301064Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:29.11319Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:29.088649Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:21.372836Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:21.343734Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:13.822999Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:13.809676Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:55:00.2697Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:55:00.25009Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:54:52.334475Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:54:52.314475Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:54:38.484993Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:54:38.448494Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:54:22.097497Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:54:22.077476Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:54:08.754376Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:54:08.727659Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:54:01.616362Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:54:01.58606Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:53:45.826923Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:53:45.811911Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:53:32.676525Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:53:32.656586Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:53:25.755568Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:53:25.731225Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:53:12.481219Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T17:53:12.462246Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:53:01.942805Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
